accented,base,modifier
thuơ,thuo,w
thuớ,thuơ,s
thuờ,thuơ,f
thuở,thuơ,r
thuỡ,thuơ,x
thuợ,thuơ,j
huơ,huo,w
huớ,huơ,s
huờ,huơ,f
huở,huơ,r
huỡ,huơ,x
huợ,huơ,j
quơ,quo,w
quớ,quơ,s
quờ,quơ,f
quở,quơ,r
quỡ,quơ,x
quợ,quơ,j
